Sample Site,X - Coordinate,Y - Coordinate,"
"
1S03,1024950,264277,"
"
1S04,1012568,256577,"
"
1S03A,1024721,264392,"
"
1S07,1004013,245233,"
"
1S03B,1014949,260688,"
"
1SCL1,1013921,259223,"
"
1SCH3,1013921,259223,"
"
1SCH4,1013921,259223,"
"
10150,1027625,239952,"
"
10250,1005082,244866,"
"
10550,1033944,246040,"
"
10750,1031623,256138,"
"
10850,1010873,270095,"
"
11050,1006824,248454,"
"
11150,1011330,251963,"
"
11250,1016434,245999,"
"
11350,1022677,244011,"
"
11450,1031142,259322,"
"
11550,1023792,257836,"
"
11750,1043521,247419,"
"
11900,1009464,248889,"
"
12000,1007590,246530,"
"
12150,1025842,263931,"
"
12250,1026480,261194,"
"
12550,1019445,259431,"
"
13050,1027551,253340,"
"
13150,1014019,255932,"
"
13350,1015047,252761,"
"
13550,1008924,250942,"
"
13600,1016282,247551,"
"
13700,1016626,248602,"
"
13850,1008681,248387,"
"
13900,1012181,249738,"
"
14000,1012057,236583,"
"
14100,1007582,246514,"
"
14200,1015030,243659,"
"
14350,1011164,243988,"
"
14450,1005321,241483,"
"
14650,1006655,239592,"
"
14850,1008919,233877,"
"
14950,1004935,233559,"
"
15050,1010196,238892,"
"
15150,1008300,245099,"
"
15250,1013358,248845,"
"
15300,1011253,259260,"
"
15450,1017550,260554,"
"
15550,1011297,254171,"
"
16150,1022864,248301,"
"
16250,1016202,257822,"
"
16450,1022580,262068,"
"
16650,1018029,241253,"
"
16950,1027285,244910,"
"
17050,1025828,268839,"
"
17250,1025509,254616,"
"
17350,1008514,261350,"
"
17450,1020965,254176,"
"
17550,1006168,236943,"
"
17650,1022842,238715,"
"
17750,1015077,237136,"
"
17950,1010441,260348,"
"
18000,1026261,251872,"
"
18100,1025309,244013,"
"
18200,1003933,238872,"
"
18300,1009738,233525,"
"
18450,1014529,240306,"
"
18500,1005303,241864,"
"
18650,1033436,238573,"
"
18750,1009639,266491,"
"
18800,1011911,242028,"
"
18900,1016746,260551,"
"
19000,1024284,264511,"
"
20050,1008686,163991,"
"
20150,987006,149279,"
"
20300,983104,186572,"
"
20350,981016,186055,"
"
20650,983827,157189,"
"
20750,994544,192845,"
"
20850,997523,200731,"
"
20900,988841,194197,"
"
20950,986528,192665,"
"
21000,1004547,185738,"
"
21050,1005507,185097,"
"
21100,992926,191199,"
"
21150,995472,189555,"
"
21250,999981,190980,"
"
21350,1009575,189833,"
"
21400,1004792,195987,"
"
21450,1003549,196536,"
"
21550,1022514,182222,"
"
21650,989547,182489,"
"
21750,982360,172983,"
"
21850,991434,185676,"
"
21900,999127,183310,"
"
21950,997809,181345,"
"
22050,1000578,196313,"
"
22250,976873,164479,"
"
22300,990149,181990,"
"
22350,981481,174383,"
"
22400,985983,165686,"
"
22550,988160,158172,"
"
22600,984776,171711,"
"
22650,983494,170583,"
"
22700,991096,174139,"
"
22750,989834,172129,"
"
22850,1003264,174746,"
"
22900,991547,191369,"
"
22950,991169,191900,"
"
23000,992358,167967,"
"
23150,992883,164317,"
"
23200,994430,176630,"
"
23250,995298,174737,"
"
23350,995651,171892,"
"
23450,1001705,188791,"
"
23550,999091,167177,"
"
23650,1000612,156721,"
"
23750,997371,160498,"
"
23850,993928,155802,"
"
23900,1015080,185857,"
"
23950,1021191,186564,"
"
24050,998224,154096,"
"
24150,1008575,185680,"
"
24250,989290,165338,"
"
24300,993640,152726,"
"
24350,996121,150850,"
"
24450,999844,176855,"
"
24550,1001869,170545,"
"
24650,1009614,177814,"
"
24700,994790,161491,"
"
24750,995293,161067,"
"
24850,1017701,182613,"
"
24950,1005399,182198,"
"
25050,1014257,179774,"
"
25100,1006510,182108,"
"
25150,1010559,181082,"
"
25250,1011381,176277,"
"
25350,1012292,170203,"
"
25400,996612,186417,"
"
25450,999921,184474,"
"
25550,996201,181648,"
"
25900,1000853,165505,"
"
25950,1003601,164002,"
"
26300,1013103,186926,"
"
26500,989404,183806,"
"
26550,989092,186247,"
"
26700,994175,185107,"
"
26750,997012,182764,"
"
26850,983249,150034,"
"
26950,1002385,199590,"
"
27000,996850,197261,"
"
27350,1005520,179355,"
"
27450,996950,163407,"
"
27550,1007600,172230,"
"
27600,1006714,191168,"
"
27650,1004372,190749,"
"
27750,995052,199303,"
"
27850,996572,205514,"
"
28050,1004177,188340,"
"
28450,991065,163335,"
"
28550,991951,149887,"
"
28950,986578,169591,"
"
29050,985048,161009,"
"
29300,985555,179528,"
"
29350,984246,179280,"
"
29450,984191,175300,"
"
29500,976339,171400,"
"
29550,977311,170753,"
"
29850,1017420,174983,"
"
3ISL3,1005336,225499,"
"
3ISL4,1004896,230380,"
"
30050,984875,201591,"
"
30150,987725,203176,"
"
30250,988016,199056,"
"
30350,989223,201145,"
"
30450,985554,197941,"
"
30550,982568,196479,"
"
30750,999891,237824,"
"
30850,1002385,231847,"
"
30950,979476,197553,"
"
