OBJECTID,Sample Site,Sample Station (SS) - Location Description,X - Coordinate,Y - Coordinate,LONGITUDE,LATITUDE,City or Placename,ZIP Code
1,1S03,"SS - Shaft 3 of City Tunnel No.1 - E/S Goulden Ave, S/O Sedgwick Ave, OPP JPR GH7",1024950,264277,-73.85279347,40.89195927,Bronx,10466
2,1S04,"SS - Shaft 4 of City Tunnel No.1 - IFO 2780 Reservoir Ave, E/S Reservoir Ave, 1st SS N/O Strong St (@ intersection of Reservoir Ave & Goulden)",1012568,256577,-73.89761003,40.87087361,Bronx,10468
3,1S03A,"SS - Shaft 3A of City Tunnel No.2 - S/S E 233rd St, W/O Bronxwood Ave IFO 862 E 233rd St.",1024721,264392,-73.85362104,40.89227596,Bronx,10466
4,1S07,"SS - Shaft 7 of City Tunnel No.1 - NE/S W 167th St, 1st SE/O Sedgwick Ave IFO 1260 Sedgwick Ave",1004013,245233,-73.92857595,40.83976102,Bronx,10452
5,1S03B,"SS - Shaft 3B of City Tunnel No.3 - W/S Jerome Ave, S/O access road to Mosholu Golf Course (SW corner of entrance to park)",1014949,260688,-73.88898217,40.88214906,Bronx,10468
6,1SCL1,"Jerome Park Reservoir (W205th St & Goulden Ave, Bx) - Croton Distribution Chamber - low pressure service tunnel, Tap in Gatehouse #5, treated water",1013921,259223,-73.89270625,40.87813161,Bronx,10468
7,1SCH3,"Jerome Park Reservoir (W205th St & Goulden Ave, Bx) - Croton Distribution Chamber - high pressure service tunnel, Tap #3 in Gatehouse #5, treated water",1013921,259223,-73.89270625,40.87813161,Bronx,10468
8,1SCH4,"Jerome Park Reservoir (W205th St & Goulden Ave, Bx) - Croton Distribution Chamber - high pressure service tunnel, Tap in Gatehouse #5, treated water",1013921,259223,-73.89270625,40.87813161,Bronx,10468
9,10150,"SS - W/S Zerega Ave, 1st SS S/O Hermany Ave, 12"" OPP NYC Sanitation",1027625,239952,-73.84327578,40.82518181,Bronx,10473
10,10250,"SS - W/S Nelson Ave, 1st SS N/O W 168th St (OPP school-1248 Nelson Ave), 12""",1005082,244866,-73.92471369,40.83875126,Bronx,10452
11,10550,"SS - W/S Stadium Ave, 1St SS N/O Randolph Pl, 12""",1033944,246040,-73.82039868,40.84185829,Bronx,10465
12,10750,"SS - N/S Bartow Ave, 2nd SS W/O Co-op City Blvd, 20""",1031623,256138,-73.82871573,40.86958699,Bronx,10475
13,10850,"SS - E/S Riverdale Ave, 1st SS S/O W 260th St (IFO church), OPP 5977 Riverdale Ave, 12""",1010873,270095,-73.90368493,40.90798151,Bronx,10471
14,11050,"SS - IFO 1675 W/S University Ave, 2nd SS S/O W 176th St, IFO 1669 University Ave, 12""",1006824,248454,-73.91840607,40.84859498,Bronx,10453
15,11150,"SS - IFO 71E N/S E 183rd St, 1st SS W/O Morris Ave, 12""",1011330,251963,-73.90210493,40.85821347,Bronx,10468
16,11250,"SS - IFO 925 N/S E Tremont Ave, 1st SS E/O Daly Ave, 20""",1016434,245999,-73.88368246,40.84182694,Bronx,10460
17,11350,"SS - W/S Metropolitan Ave, 2nd SS N/O Parkchester Rd (IFO Macy's), 20""",1022677,244011,-73.8611308,40.8363455,Bronx,10462
18,11450,"SS - IFO 920 S/S Co - op City Blvd, 2nd SS W/O Dreiser Loop, 20""",1031142,259322,-73.83043257,40.87832864,Bronx,10475
19,11550,"SS - IFO 1058 S/S E Gun Hill Rd, 1st SS E/O Hone Ave, 12""",1023792,257836,-73.85701982,40.87428603,Bronx,10469
20,11750,"SS - IFO 250 E/S City Island Ave, BTW Carroll & Schofield Sts, 20""",1043521,247419,-73.78577395,40.84558414,Bronx,10464
21,11900,"SS - S/S E 177th St, BTW Walton & Morris Aves, 36""",1009464,248889,-73.90886214,40.84978178,Bronx,10453
22,12000,"SS - OPP 1540 W/S Jerome Ave, 1st SS S/O Goble Pl, 48""",1007590,246530,-73.91564406,40.84331218,Bronx,10452
23,12150,"SS - IFO 963 N/S E 233rd St, 2nd SS W/O Gunther Ave, 12""",1025842,263931,-73.84956938,40.89100545,Bronx,10466
24,12250,"SS - OPP 1134 N/S E 225th St, 2nd SS W/O Schieffelin Ave, 12""",1026480,261194,-73.84727911,40.88349023,Bronx,10466
25,12550,"SS - IFO 352 S/S E Gun Hill Rd, 1st SS W/O Decatur Ave, 20""",1019445,259431,-73.87272976,40.87868221,Bronx,10467
26,13050,"SS - IFO 2431 W/S Eastchester Rd, 2nd SS S/O Mace Ave, 12""",1027551,253340,-73.84345671,40.86192825,Bronx,10469
27,13150,"SS - IFO 2805 W/S Grand Concourse, 2nd SS S/O E 197th St, 20""",1014019,255932,-73.89236649,40.86909851,Bronx,10468
